mindat_ID,location name,count,mo_spinel_minerals
122798,"Shebenik Massif, Librazhd District, Elbasan County, Albania",1,Spinel
159403,"Korçë County, Albania",2,"Chromite,Magnetite"
273313,"Bitincke, Korçë County, Albania",1,Chromite
279797,"Korçë District (Korca District), Korçë County, Albania",1,Magnetite
27546,"Rehove Mine (Rehova Mine), Korçë District (Korca District), Korçë County, Albania",1,Magnetite
159404,"Kukës County, Albania",2,"Chromite,Spinel"
31038,"Kukës-Has Region (Kukes), Kukës County, Albania",1,Chromite
27553,"Kam Mine, Kukës-Has Region (Kukes), Kukës County, Albania",1,Chromite
278932,"Kukës-Tropojë District, Kukës-Has Region (Kukes), Kukës County, Albania",1,Chromite
27542,"Kalimash Mine, Kukës-Tropojë District, Kukës-Has Region (Kukes), Kukës County, Albania",1,Chromite
275450,"Perollaj (Perollay; Panke; Perolaj; Prole; Peroli; Perrollaj), Kukës-Has Region (Kukes), Kukës County, Albania",1,Chromite
27551,"Perollaj Mine (Perollay Mine), Perollaj (Perollay; Panke; Perolaj; Prole; Peroli; Perrollaj), Kukës-Has Region (Kukes), Kukës County, Albania",1,Chromite
27552,"Vlahna Mine (Vllahne Mine), Kukës-Has Region (Kukes), Kukës County, Albania",1,Chromite
27794,"Tropoja Ophiolitic Massif, Kukës County, Albania",2,"Spinel,Chromite"
27545,"Bregu I Bibes Mine, Tropoja Ophiolitic Massif, Kukës County, Albania",1,Chromite
9384,"Maja E Sukës Deposit, Tropoja Ophiolitic Massif, Kukës County, Albania",1,Chromite
121063,"Lezhë County, Albania",1,Magnetite
258101,"Rubik Deposit, Lezhë County, Albania",1,Magnetite
21894,Algeria,6,"Chromite,Spinel,Magnetite,Hercynite,Hausmannite,Maghemite"
131111,"Adrar Province, Algeria",3,"Chromite,Spinel,Magnetite"
266062,"Adrar 003 Meteorite, Adrar Province, Algeria",2,"Chromite,Spinel"
262723,"Hassi-Jekna Meteorite, Adrar Province, Algeria",1,Magnetite
131078,"Algiers Province, Algeria",2,"Hercynite,Magnetite"
32020,"Ain Taiba, Algiers Province, Algeria",2,"Hercynite,Magnetite"
131079,"Annaba Province, Algeria",1,Hercynite
286224,"Cap De Fer, Annaba Province, Algeria",1,Hercynite
72853,"Aïn Nousri Volcano, Cap De Fer, Annaba Province, Algeria",1,Hercynite
131114,"Béchar Province, Algeria",2,"Hercynite,Spinel"
