mineral_id	mineral_name	mineral_display_name	rruff_chemistry	ima_chemistry	chemistry_elements
1323	Carbokentbrooksite	Carbokentbrooksite	(Na,[box])_12_(Na,Ce^3+^)_3_Ca_6_Mn^2+^_3_Zr^4+^_3_Nb^5+^Si_25_O_73_(OH)_3_(CO_3_)·H_2_O	(Na,[box])_12_(Na,Ce)_3_Ca_6_Mn_3_Zr_3_NbSi_25_O_73_(OH)_3_(CO_3_)·H_2_O	"Na Ce Ca Mn Zr Nb Si O H C"
1324	Carbonatecyanotrichite	Carbonatecyanotrichite	Cu^2+^_4_Al_2_CO_3_(OH)_12_·2H_2_O	Cu_4_Al_2_(CO_3_)(OH)_12_·2H_2_O	"Cu Al C O H"
1327	Caresite	Caresite	Fe^2+^_4_Al_2_(OH)_12_CO_3_·3H_2_O	Fe^2+^_4_Al_2_(OH)_12_(CO_3_)·3H_2_O	"Fe Al O H C"
1328	Carletonite	Carletonite	KNa_4_Ca_4_Si_8_O_18_(CO_3_)_4_(F,OH)·H_2_O	KNa_4_Ca_4_Si_8_O_18_(CO_3_)_4_(F,OH)·H_2_O	"K Na Ca Si O C F H"
1329	Carlfriesite	Carlfriesite	CaTe^6+^Te^4+^_2_O_8_	CaTe^6+^Te^4+^_2_O_8_	"Ca Te O"
1330	Carlhintzeite	Carlhintzeite	Ca_2_AlF_7_·H_2_O	Ca_2_AlF_7_·H_2_O	"Ca Al F H O"
1331	Carlinite	Carlinite	Tl^1+^_2_S^2-^	Tl_2_S	"Tl S"
1332	Carlosruizite	Carlosruizite	K_3_Na_2_Na_3_Mg_5_(I^5+^O_3_)_6_(Se^6+^O_4_)_6_·6H_2_O	K_3_Na_2_Na_3_Mg_5_(IO_3_)_6_(SeO_4_)_6_·6H_2_O	"K Na Mg I O Se H"
1333	Carlosturanite	Carlosturanite	(Mg,Fe^2+^,Ti^4+^)_21_(Si,Al)_12_O_28_(OH)_34_·H_2_O	(Mg,Fe^2+^,Ti)_21_(Si,Al)_12_O_28_(OH)_34_·H_2_O	"Mg Fe Ti Si Al O H"
1334	Carlsbergite	Carlsbergite	Cr^3+^N^3-^	CrN	"Cr N"
1335	Carmichaelite	Carmichaelite	(Ti^4+^,Cr^3+^,Fe^3+^)(O,OH)_2_	(Ti,Cr,Fe)(O,OH)_2_	"Ti Cr Fe O H"
1336	Carminite	Carminite	PbFe^3+^_2_(As^5+^O_4_)_2_(OH)_2_	PbFe^3+^_2_(AsO_4_)_2_(OH)_2_	"Pb Fe As O H"
1337	Carnallite	Carnallite	KMgCl_3_·6H_2_O	KMgCl_3_·6H_2_O	"K Mg Cl H O"
1338	Carnotite	Carnotite	K_2_(U^6+^O_2_)_2_(V^5+^O_4_)_2_·3H_2_O	K_2_(UO_2_)_2_(VO_4_)_2_·3H_2_O	"K U O V H"
1339	Carobbiite	Carobbiite	KF	KF	"K F"
1340	Carpholite	Carpholite	Mn^2+^Al_2_Si_2_O_6_(OH)_4_	Mn^2+^Al_2_Si_2_O_6_(OH)_4_	"Mn Al Si O H"
1341	Carraraite	Carraraite	Ca_3_Ge(SO_4_)(CO_3_)(OH)_6_·12H_2_O	Ca_3_Ge(SO_4_)(CO_3_)(OH)_6_·12H_2_O	"Ca Ge S O C H"
1342	Carrboydite	Carrboydite	Ni^2+^_14_Al_9_(SO_4_)_6_(OH)_43_·7H_2_O	"(Ni_1-x_Al_x_)(SO_4_)_x/2_(OH)_2_·nH_2_O (x < 0.5, n > 3x/2)"	"Ni Al S O H"
1343	Carrollite	Carrollite	Cu^1+^Co^3+^_2_S_4_	CuCo_2_S_4_	"Cu Co S"
1344	Caryinite	Caryinite	(Na,Pb^2+^)(Ca,Na)CaMn^2+^_2_(As^5+^O_4_)_3_	(Na,Pb)(Ca,Na)CaMn^2+^_2_(AsO_4_)_3_	"Na Pb Ca Mn As O"
1345	Caryopilite	Caryopilite	Mn^2+^_3_Si_2_O_5_(OH)_4_	Mn^2+^_3_Si_2_O_5_(OH)_4_	"Mn Si O H"
1346	Cascandite	Cascandite	CaSc^3+^Si_3_O_8_(OH)	CaScSi_3_O_8_(OH)	"Ca Sc Si O H"
